id,name,city,rating,rating_count,cost,cuisine
533855,Aryan Maggi Stall,Adityapur,4.0,50.0,150.0,"Fast Food,Pastas"
125180,Babu Moshai,Adityapur,4.0,50.0,349.0,"Indian,Chinese"
263297,Junction Restaurant,Adityapur,3.7,1000.0,399.0,"Indian,Biryani"
410629,Mintelaa,Adityapur,4.0,50.0,1000.0,"Chinese,Indian"
461084,The Bihari  Resturant,Adityapur,4.4,50.0,200.0,"North Indian,Snacks"
499377,DELIGHT FOOD CORNER,Adityapur,4.0,50.0,100.0,Chinese
390901,Delhi Darbar (Sakchi ),Adityapur,3.7,100.0,200.0,"Chinese,Biryani"
127306,Shyam Store,Adityapur,4.0,50.0,250.0,"Indian,Chinese"
111386,The Hungry Bird,Adityapur,3.9,500.0,300.0,"North Indian,Chinese"
308169,FOODILICIOUS,Adityapur,4.0,50.0,400.0,Indian
537808,The Kannelite,Adityapur,4.0,50.0,599.0,"Indian,Snacks"
433648,Manohar Chat,Adityapur,4.1,100.0,150.0,"Chinese,Chaat"
115931,Dosa Hut,Adityapur,4.0,100.0,200.0,"South Indian,Chinese"
579047,Cook'S Corner,Adityapur,4.0,50.0,200.0,"Chinese,Indian"
174464,Chicago Pizza,Adityapur,3.1,100.0,299.0,"Pizzas,Pastas"
163435,New Chappan Bhog - Sakchi,Adityapur,4.3,100.0,200.0,"Sweets,Snacks"
417015,Laziz Pizza,Adityapur,3.9,100.0,300.0,"Pizzas,Beverages"
376602,SAKCHI MISTAN BHANDAR,Adityapur,4.2,100.0,200.0,"Sweets,Snacks"
546139,BIKKGANE BIRYANI,Adityapur,4.1,100.0,350.0,"Biryani,Hyderabadi"
102578,Campus Adda,Adityapur,3.9,100.0,200.0,"Chinese,Biryani"
503432,NEW KOLKATA ARSALAN BIRYANI,Adityapur,3.8,50.0,250.0,"Biryani,Fast Food"
514288,Pizza Campus,Adityapur,4.0,50.0,150.0,"Fast Food,Pizzas"
552372,Deep Delighted Kitchen,Adityapur,4.0,50.0,150.0,"Chinese,Snacks"
385938,Biryani By Kilo,Adityapur,4.1,500.0,600.0,"Biryani,Hyderabadi"
164297,American Waffle House,Adityapur,4.1,100.0,200.0,"Waffle,Ice Cream"
579040,Chai Sutta Bar,Adityapur,4.0,50.0,200.0,"Beverages,Fast Food"
539663,New Dolphin Bakery,Adityapur,4.0,50.0,250.0,Bakery
120193,Lakhi Egg Roll & Caterer,Adityapur,3.5,100.0,299.0,"Chinese,Indian"
102631,The White Rose,Adityapur,3.9,100.0,499.0,"Indian,Chinese"
189441,The Belgian Waffle Co.,Adityapur,4.5,100.0,200.0,"Beverages,Desserts"
102039,Saffron,Adityapur,4.0,100.0,400.0,"Indian,Chinese"
127463,Brunch Italiano (sakchi),Adityapur,3.7,50.0,300.0,Bakery
109387,Uttar Dakshin,Adityapur,3.7,500.0,200.0,"Indian,Chinese"
306094,SAGAR RESTAURANT,Adityapur,4.1,20.0,299.0,"Indian,Chinese"
102577,Silver Spoon,Adityapur,4.2,100.0,200.0,Indian
242722,Pappu Hotel,Adityapur,3.0,100.0,200.0,"Biryani,Chinese"
528374,Shreshtham,Adityapur,3.5,20.0,200.0,"Snacks,Sweets"
355563,Royal Max - Sakchi,Adityapur,4.0,50.0,399.0,"Bakery,Pizzas"
417020,The Biryani Boxx,Adityapur,3.7,20.0,200.0,"Biryani,Beverages"
385636,CAKE PLANET,Adityapur,4.0,50.0,200.0,"Bakery,Desserts"
546127,BIRYANI BADSHAH,Adityapur,4.1,50.0,350.0,"Biryani,Hyderabadi"
195788,Tinkoniya Hotel,Adityapur,3.9,50.0,150.0,"Snacks,Sweets"
102040,Pappu Restaurant,Adityapur,3.4,500.0,200.0,"Indian,Biryani"
414252,Jalsa Restaurant,Adityapur,4.3,100.0,200.0,"Bengali,Indian"
484449,Brother's Chaap and Dhaba,Adityapur,4.0,20.0,200.0,"North Indian,Snacks"
530955,A2B  Anirams Aahar Bhavan,Adityapur,4.0,50.0,300.0,"South Indian,Chinese"
554195,THE HUNGER OUT,Adityapur,4.0,50.0,200.0,"North Indian,South Indian"
450591,Brother's Dhaba,Adityapur,4.0,50.0,399.0,"North Indian,Thalis"
509389,Kathi Junction,Adityapur,4.0,50.0,200.0,"Snacks,Indian"
385811,COZY CORNER,Adityapur,4.0,50.0,200.0,"Indian,Chinese"
419356,Shawarma 83,Adityapur,4.0,50.0,199.0,"Arabian,Lebanese"
103646,The Dugout,Adityapur,3.7,20.0,499.0,"Indian,Chinese"
120977,J K Residency,Adityapur,4.1,50.0,400.0,"Indian,Continental"
372399,MEALS @ ONE,Adityapur,3.5,100.0,200.0,"Combo,Indian"
455954,Kebabs & Curry,Adityapur,3.8,20.0,300.0,"Indian,Chinese"
292480,NABJIBAN KULFI,Adityapur,4.2,20.0,299.0,"Ice Cream,Pizzas"
512637,Brewers cafe,Adityapur,4.0,50.0,200.0,Chinese
372402,PARATHA EXPRESS,Adityapur,4.0,50.0,200.0,Indian
530390,PUJA SWEETS SAKCHI,Adityapur,4.0,50.0,100.0,Sweets
372748,Truly Publik,Adityapur,4.0,50.0,800.0,"Chinese,Continental"
236464,Unplugged Restaurant,Adityapur,4.0,50.0,350.0,"North Indian,Tandoor"
257314,HAVELI,Adityapur,4.0,50.0,450.0,"Chinese,South Indian"
525290,ZAAFFRAN RESTAURANT,Adityapur,4.0,50.0,100.0,"Biryani,Indian"
372401,CRAZY PAKODA,Adityapur,4.0,50.0,200.0,Snacks
566600,Lounge And Sky Dining,Adityapur,4.0,50.0,300.0,"North Indian,Chinese"
187581,Momo Square,Adityapur,3.3,50.0,200.0,"Tibetan,Nepalese"
364460,SAI REGENCY,Adityapur,4.0,100.0,200.0,"Indian,Biryani"
350908,Wok Tok Asia,Adityapur,4.0,50.0,299.0,Chinese
103645,Jiva Hotel,Adityapur,4.2,100.0,599.0,"North Indian,Chinese"
547588,T Matter,Adityapur,4.0,50.0,300.0,"Beverages,Fast Food"
363377,Ice Cream Conection,Adityapur,4.0,50.0,200.0,"Beverages,Desserts"
365286,Nani's Homemade Chocolates,Adityapur,4.0,50.0,100.0,Desserts
174578,Lalaji,Adityapur,4.0,50.0,250.0,Indian
207907,Galaxy Sweet & Snacks,Adityapur,3.8,20.0,150.0,"Chinese,Snacks"
480302,BAKING LOVE BY ANITA,Adityapur,4.0,50.0,100.0,Bakery
229462,THAALI WALA (Pure Veg Thali),Adityapur,3.2,20.0,199.0,"Thalis,Indian"
509922,Aqua Fumes,Adityapur,4.0,50.0,400.0,"Chinese,Beverages"
244302,The Food Bowl,Adityapur,4.0,50.0,200.0,"Chinese,Continental"
229475,Mad Jack Continental & South Indian,Adityapur,4.0,50.0,200.0,"Indian,South Indian"
417740,3 Peg Restro & Bar,Adityapur,4.0,50.0,200.0,"Indian,Chinese"
388007,Retro Garden,Adityapur,4.0,50.0,200.0,"Chinese,North Indian"
300380,BURGER BUDDY,Adityapur,4.2,100.0,150.0,"Burgers,Street Food"
190030,Biryani King,Adityapur,4.0,50.0,200.0,"Biryani,North Indian"
180225,Happier,Adityapur,4.0,50.0,200.0,"South Indian,North Indian"
186918,DynaBite,Adityapur,4.0,50.0,100.0,"North Indian,South Indian"
383698,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",Adityapur,4.0,50.0,200.0,"Beverages,Desserts"
365232,Kavya Momos,Adityapur,4.0,50.0,150.0,"Street Food,Chinese"
383695,The Sandwich Co,Adityapur,4.0,50.0,200.0,"Snacks,Beverages"
551764,Biryani Blooms,Adityapur,4.0,50.0,200.0,"Biryani,Chinese"
546062,VADILAL ICE CREAMS,Adityapur,4.6,50.0,200.0,Ice Cream
193441,Fusion Restaurant,Adityapur,3.9,500.0,350.0,"North Indian,Chinese"
165411,The Height 18,Adityapur,3.0,20.0,200.0,"Indian,Chinese"
127035,The Villa (Malgudi Station),Adityapur,4.0,50.0,200.0,"South Indian,Desserts"
281294,CHEERS PARATHA,Adityapur,4.0,50.0,300.0,"North Indian,Chinese"
383696,The Bun Factory,Adityapur,4.0,50.0,200.0,"Snacks,Beverages"
383699,Coffee House,Adityapur,4.0,50.0,150.0,"Beverages,Snacks"
406415,Ande Ka Funda,Adityapur,4.0,50.0,199.0,Snacks
400606,Dosa Cafe (Hotel Ganga Regency),Adityapur,4.5,100.0,199.0,South Indian
127034,Hotel Ganga Regency,Adityapur,4.2,1000.0,399.0,"Indian,Chinese"
496555,BASANT PARCEL,Adityapur,3.6,20.0,100.0,"North Indian,Chinese"
368710,MURARI BHOJANALAY,Adityapur,4.1,100.0,199.0,Indian
302166,PIZZA 99,Adityapur,3.5,20.0,200.0,"Pizzas,Burgers"
